date,HU101-CVPM01G,HU101-CVPM01S,HU303-CVPM10G,HU303-CVPM10S,HU302-CVPM11G,HU302-CVPM11S,HU305-CVPM12G,HU305-CVPM12S,HU306-CVPM13G,HU306-CVPM13S,HU402A-CVPM14AG,HU402A-CVPM14AS,HU402B-CVPM14BG,HU402B-CVPM14BS,HU404A-CVPM15AG,HU404A-CVPM15AS,HU404B-CVPM15BG,HU404B-CVPM15BS,HU401-CVPM16G,HU401-CVPM16S,HU403-CVPM17G,HU403-CVPM17S,HU405-CVPM18G,HU405-CVPM18S,HU408A-CVPM19AG,HU408A-CVPM19AS,HU408B-CVPM19BG,HU408B-CVPM19BS,HU102-CVPM02G,HU102-CVPM02S,HU407-CVPM20G,HU407-CVPM20S,HU409A-CVPM21AG,HU409A-CVPM21AS,HU409B-CVPM21BG,HU409B-CVPM21BS,HU409C-CVPM21CG,HU409C-CVPM21CS,HU103A-CVPM03AG,HU103A-CVPM03AS,HU103B-CVPM03BG,HU103B-CVPM03BS,HU104-CVPM04G,HU104-CVPM04S,HU202-CVPM05G,HU202-CVPM05S,HU203-CVPM06G,HU203-CVPM06S,HU204-CVPM07G,HU204-CVPM07S,HU207-CVPM08G,HU207-CVPM08S,HU206-CVPM09G,HU206-CVPM09S,HU501-AGG_VENT,HU511-AGG_SD,HU501-AGS_VENT,HU511-AGS_SD,HU510-AGS_IMP,HU507-AGG_COACH,HU512-AgS_Bard,HU508-AGS_Palo,HU507-AGS_COACH,HU509-AGG_EW,HU502-AGG_AV
2006-06-30,2.7609999999999992,7.860999999999998,114.528,57.572,56.69800000000001,76.409,58.41299999999998,64.24854499999998,316.036,7.309999999999999,0.0,86.624,0.0,0.0,209.336,0.0,14.845999999999997,0.0,26.782,56.91199999999999,177.15500000000006,0.0,298.298,0.0,45.748,1.078,61.995,1.495,47.229000000000006,34.253,113.77100000000002,9.097,24.816000000000003,34.27,20.507,28.319999999999997,16.421999999999997,22.677,60.01999999999998,106.69999999999996,35.166,70.32899999999998,194.295,2.063,141.018,130.16499999999996,172.99499999999998,3.726000000000001,43.923,33.138000000000005,148.863,32.67600000000001,156.11500000000004,127.72399999999996,36.92,2.7500000000000004,1.8200000000000005,4.120000000000001,411.03,33.82000000000001,19.210000000000008,86.60999999999999,11.270000000000003,60.64200000000001,16.481999999999996
2006-07-31,3.0400000000000005,8.655,123.645,62.15799999999999,54.707999999999984,78.33500000000002,61.029,68.65700000000001,348.823,7.594999999999998,0.0,95.601,0.0,6.524,230.335,0.0,15.373,0.0,25.598000000000003,54.39500000000002,174.757,0.0,305.59599999999995,0.0,44.707,1.244,0.0,1.727,53.398,1.2428999999999846,119.17499999999998,9.568,25.695,38.71,20.074,29.852000000000004,17.455,25.607000000000003,63.94400000000002,113.682,37.467,79.09399999999998,209.666,2.2250000000000005,149.839,138.31499999999997,161.91999999999996,3.9630000000000014,44.778,35.55699999999999,151.858,35.715,149.9383440000001,135.81199999999998,41.47,2.999999999999999,2.0500000000000003,4.500000000000001,449.3299999999998,36.97000000000001,21.000000000000007,94.68,12.319999999999997,68.11599999999997,18.508000000000003
2006-08-31,2.8850000000000007,8.220999999999997,103.599,52.08000000000001,48.68299999999999,65.60500000000002,50.40900000000002,53.37400000000002,297.777,6.887000000000001,0.0,77.72200000000001,0.0,5.306,207.375,0.0,13.481999999999996,0.0,20.380000000000003,43.31199999999999,135.60800000000003,0.0,249.445,0.0,41.378,1.0540000000000005,60.744,1.466,48.447,32.209,102.146,8.171999999999999,23.12,31.927,19.105000000000004,26.382,15.300000000000002,21.128999999999994,55.177,98.08399999999996,34.343,68.244,168.972,1.7980000000000007,118.73999999999998,109.60300000000004,159.10299999999998,3.4189999999999983,37.81999999999999,28.535,149.51399999999998,32.823,120.87699999999997,98.89899999999994,32.169999999999995,2.4400000000000004,1.5900000000000003,3.6600000000000006,364.66,30.01,17.04,76.84,10.0,52.84199999999999,14.362
2006-09-30,2.5409999999999995,7.236000000000001,60.57400000000001,26.12,32.343,43.45,32.961,34.792,141.893,3.0580000000000003,10.07,11.035999999999996,0.7550000000000002,0.8210000000000003,56.88000000000001,0.0,2.603999999999999,0.0,10.698000000000002,22.738999999999997,65.14800000000001,0.0,89.60699999999997,0.0,7.065,0.155,11.309000000000005,0.2420000000000001,33.66,24.558,30.12899999999999,2.532,6.140000000000002,8.479000000000003,3.653999999999999,5.043000000000002,2.864999999999999,3.962,26.045,46.30399999999999,19.082000000000004,33.92300000000001,63.32299999999997,0.6400000000000002,52.84500000000002,48.782,63.49899999999997,1.2979999999999996,15.180000000000003,11.456000000000005,88.25499999999997,19.376,47.79900000000001,39.10499999999999,12.2,0.5400000000000001,0.6000000000000001,0.8100000000000003,81.17999999999998,6.68,3.79,17.109999999999996,2.2300000000000004,20.038,5.443999999999999
2006-10-31,1.5849999999999995,4.523,46.015999999999984,18.793000000000006,16.383,20.859,18.884,18.884,76.44199999999998,1.5590000000000004,20.625,27.19000000000001,1.228,2.019000000000001,92.18700000000004,0.0,4.235999999999999,0.0,4.387,9.315,28.14100000000001,0.0,60.84199999999999,0.0,16.454,0.3570000000000001,24.789,0.5720000000000002,16.144000000000002,12.684000000000005,24.556000000000004,1.954,9.647999999999996,13.319000000000004,5.7,8.337,4.503000000000001,6.216,15.664999999999996,27.857000000000006,11.475,20.397,20.254999999999995,0.203,38.402000000000015,35.444999999999986,32.203,0.6580000000000003,7.116999999999999,5.363999999999998,32.878999999999984,7.217999999999998,12.919000000000006,10.565000000000005,6.189999999999999,0.6100000000000001,0.28,0.9100000000000004,91.02000000000004,7.49,4.25,19.180000000000007,2.5,10.158000000000005,2.7600000000000007
2006-11-30,0.181,0.5200000000000001,19.413999999999994,8.342999999999998,4.054999999999999,5.158,4.921000000000001,4.921000000000001,6.977000000000001,0.141,9.786,10.721999999999996,0.7260000000000001,0.7990000000000003,9.997,0.0,0.4570000000000002,0.0,0.162,0.3440000000000001,0.382,0.0,5.778999999999998,0.0,1.864,0.039,2.985,0.061,1.8020000000000007,1.4189999999999996,0.5370000000000001,0.04,0.5810000000000002,0.8010000000000003,0.382,0.5350000000000001,0.265,0.375,7.355000000000003,13.064000000000004,5.385000000000001,9.579999999999998,9.743,0.099,21.782999999999998,20.115,1.7359999999999998,0.037,4.042,3.055,2.144,0.4750000000000002,1.6979999999999995,1.3839999999999997,0.33,0.04,0.0,0.06,6.43,0.5300000000000001,0.3,1.3600000000000003,0.18,0.548,0.148
2006-12-31,0.077,0.205,10.743000000000004,4.385,2.440999999999999,3.1039999999999988,4.239000000000001,4.239000000000001,3.1839999999999984,0.063,14.318000000000003,17.537000000000003,0.754,1.3039999999999996,10.337,0.0,0.4780000000000002,0.0,0.0,0.0,0.0,0.0,1.7399999999999998,0.0,0.098,0.001,0.162,0.002,0.145,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240999999999999,5.761000000000001,2.3759999999999994,4.218999999999999,7.724000000000001,0.079,14.443999999999996,13.336999999999998,0.3220000000000001,0.004,4.4430000000000005,3.357000000000001,0.6840000000000003,0.155,0.102,0.083,0.06,0.0,0.0,0.02,2.4500000000000006,0.19,0.1099999999999999,0.4900000000000002,0.06,0.0989999999999999,0.025
2007-01-31,0.021,0.06,9.537000000000004,3.8969999999999994,3.719,4.736000000000001,2.345,2.345,4.485000000000001,0.095,15.549999999999995,20.224999999999994,0.868,1.5039999999999996,18.555000000000007,0.0,0.8450000000000003,0.0,0.16,0.3400000000000001,1.2569999999999997,0.0,8.576000000000002,0.0,5.805,0.119,9.316,0.195,0.125,0.101,6.083000000000002,0.4810000000000002,3.6569999999999983,5.042999999999998,2.297,3.3379999999999983,1.7019999999999995,2.355999999999999,1.762000000000001,3.137,1.2840000000000005,2.2840000000000003,2.019,0.02,5.7159999999999975,5.276000000000002,0.2850000000000001,0.003,4.238000000000001,3.198000000000001,0.201,0.042,0.176,0.141,0.06,0.15,0.0,0.22,22.37,1.8400000000000007,1.0500000000000005,4.710000000000001,0.6100000000000002,0.0899999999999999,0.019
2007-02-28,0.0,0.0,22.415,9.637999999999998,4.423000000000001,5.635,3.855,3.855,10.983,0.2220000000000001,15.843000000000002,20.617,0.885,1.4609999999999996,19.325,0.0,0.8980000000000004,0.0,0.045,0.102,0.26,0.0,15.101,0.0,3.260999999999999,0.064,5.224000000000001,0.104,0.3040000000000001,0.2410000000000001,2.101,0.159,1.6569999999999998,2.2820000000000005,1.0970000000000002,1.5150000000000003,0.7650000000000001,1.0610000000000002,1.0960000000000003,1.942,0.8010000000000003,1.4229999999999996,1.7779999999999998,0.019,1.1170000000000004,1.0250000000000004,0.4020000000000001,0.005,3.895999999999999,2.937999999999999,0.157,0.037,0.5240000000000001,0.4350000000000001,0.0799999999999999,0.0899999999999999,0.0,0.1299999999999999,13.790000000000004,1.1400000000000003,0.6400000000000001,2.91,0.38,0.1259999999999999,0.029
2007-03-31,0.095,0.26,53.38700000000001,23.013999999999992,15.423999999999996,19.627,19.04,19.04,74.71300000000001,1.5230000000000004,34.49,44.87,0.0,2.673,132.03199999999998,0.0,6.807,0.0,11.121000000000002,24.943999999999992,15.316000000000006,0.0,113.16799999999998,0.0,26.8,0.5810000000000001,40.05299999999999,0.8740000000000002,4.804000000000002,3.779,44.272,3.5280000000000014,14.309000000000005,19.759,10.723,14.805000000000003,8.025999999999998,11.083999999999998,3.863,6.876000000000002,2.8359999999999994,5.036999999999998,6.861,0.065,4.845,4.4780000000000015,15.123000000000005,0.3050000000000001,5.195999999999998,3.9180000000000015,4.841,1.0610000000000002,4.637000000000001,3.796,2.9100000000000006,1.1000000000000003,0.14,1.6500000000000006,164.60999999999996,13.55,7.689999999999999,34.69,4.520000000000001,4.769,1.295
2007-04-30,1.4579999999999995,4.142999999999999,62.13000000000001,28.36399999999999,37.38199999999999,47.574000000000005,38.236,40.36,180.14600000000004,3.675000000000001,19.955,26.31200000000001,1.189,1.959,110.32000000000004,0.0,5.339999999999999,0.0,17.532,37.258,73.3,0.0,140.894,0.0,19.093000000000004,0.4120000000000001,28.669000000000004,0.6630000000000001,28.89700000000001,19.867,58.78699999999999,4.422999999999999,11.229408000000005,15.875999999999998,7.176999999999998,9.912,5.369,7.417999999999999,41.399,73.59700000000001,28.803999999999988,53.902,108.16117000000004,1.1180000000000003,95.63699999999996,88.27900000000001,76.12399999999998,1.5560000000000005,30.976,23.363,51.36199999999999,11.277,42.83700000000002,35.044,14.62,1.0400000000000005,0.7200000000000002,1.5700000000000005,156.25,12.860000000000005,7.300000000000002,32.919999999999995,4.29,24.021000000000004,6.527
2007-05-31,2.460000000000001,7.001999999999997,98.02599999999998,45.37599999999998,48.973,70.123,54.50000000000002,57.70600000000002,277.962,6.428000000000001,0.0,67.38600000000001,0.0,3.943,184.182,0.0,10.267999999999995,0.0,24.663000000000004,52.40599999999999,171.77300000000002,0.0,241.894,0.0,33.638,0.7840000000000003,46.169,1.101,40.426,31.762000000000004,110.485,8.316999999999998,19.109,28.589,16.846000000000004,23.263,12.644999999999998,17.459,51.608,96.58099999999996,33.817,67.199,153.2,1.7200000000000006,116.88199999999996,107.89599999999996,151.90100000000004,3.2619999999999987,33.138000000000005,24.999,143.09200000000004,31.40899999999999,111.02100000000002,90.838,30.710000000000008,2.1800000000000006,1.4100000000000004,3.2700000000000005,326.0900000000001,26.83,15.239999999999998,68.71,8.94,50.45100000000001,13.71
2007-06-30,2.7609999999999992,7.860999999999998,114.528,57.572,53.36300000000001,76.409,58.41299999999998,62.06399999999998,316.036,6.879999999999999,0.0,94.499,0.0,6.451,209.336,0.0,14.845999999999997,0.0,25.294,53.74999999999999,177.15500000000006,0.0,298.298,0.0,38.71,1.078,0.0,1.495,47.229000000000006,34.253,113.77100000000002,8.562,22.748,34.27,19.14,28.319999999999997,15.455999999999996,22.677,57.018999999999984,106.69999999999996,35.166,74.23599999999998,173.843,2.063,141.018,130.16499999999996,163.384,3.726000000000001,43.923,33.138000000000005,148.863,34.71800000000001,156.11500000000004,127.72399999999996,36.92,2.7500000000000004,1.8200000000000005,4.120000000000001,411.03,33.82000000000001,19.210000000000008,86.60999999999999,11.270000000000003,60.64200000000001,16.481999999999996
2007-07-31,3.0400000000000005,8.655,123.645,58.27299999999999,54.707999999999984,78.33500000000002,61.029,64.843,348.823,7.594999999999998,0.0,95.601,0.0,6.524,230.335,0.0,15.373,0.0,25.598000000000003,54.39500000000002,174.757,0.0,305.59599999999995,0.0,0.5000000000000002,1.161,0.0,1.594,53.398,0.0,119.17499999999998,9.568,10.339686167877716,35.484,20.074,29.852000000000004,17.455,24.101000000000003,60.74700000000002,113.682,37.467,79.09399999999998,187.596,2.2250000000000005,149.839,138.31499999999997,161.91999999999996,3.9630000000000014,44.778,35.55699999999999,151.858,38.096,149.9383440000001,135.81199999999998,41.47,2.999999999999999,2.0500000000000003,4.500000000000001,449.3299999999998,36.97000000000001,21.000000000000007,94.68,12.319999999999997,68.11599999999997,18.508000000000003
2007-08-31,2.8850000000000007,8.220999999999997,103.599,52.08000000000001,48.68299999999999,65.60500000000002,50.40900000000002,53.37400000000002,297.777,6.482000000000001,0.0,77.72200000000001,0.0,5.306,207.375,0.0,13.481999999999996,0.0,20.380000000000003,43.31199999999999,135.60800000000003,0.0,249.445,0.0,37.93,1.0540000000000005,0.0,1.466,48.447,35.137,102.146,8.171999999999999,21.193,31.927,19.105000000000004,26.382,14.400000000000002,21.128999999999994,52.418,98.08399999999996,34.343,68.244,160.079,1.7980000000000007,118.73999999999998,109.60300000000004,159.10299999999998,3.4189999999999983,37.81999999999999,28.535,149.51399999999998,34.754,120.87699999999997,98.89899999999994,32.169999999999995,2.4400000000000004,1.5900000000000003,3.6600000000000006,364.66,30.01,17.04,76.84,10.0,52.84199999999999,14.362
2007-09-30,2.5409999999999995,7.236000000000001,60.57400000000001,26.12,32.343,43.45,32.961,34.792,141.893,3.0580000000000003,10.07,11.035999999999996,0.7550000000000002,0.8210000000000003,56.88000000000001,0.0,2.603999999999999,0.0,10.698000000000002,22.738999999999997,65.14800000000001,0.0,89.60699999999997,0.0,7.065,0.155,11.309000000000005,0.2420000000000001,33.66,24.558,30.12899999999999,2.399,6.140000000000002,8.479000000000003,3.653999999999999,5.043000000000002,2.721999999999999,3.962,26.045,46.30399999999999,19.082000000000004,33.92300000000001,63.32299999999997,0.6400000000000002,52.84500000000002,48.782,63.49899999999997,1.2979999999999996,15.180000000000003,11.456000000000005,88.25499999999997,19.376,47.79900000000001,39.10499999999999,12.2,0.5400000000000001,0.6000000000000001,0.8100000000000003,81.17999999999998,6.68,3.79,17.109999999999996,2.2300000000000004,20.038,5.443999999999999
2007-10-31,1.5849999999999995,4.523,43.59399999999999,18.793000000000006,16.383,20.859,18.884,18.884,76.44199999999998,1.5590000000000004,20.625,27.19000000000001,1.228,2.019000000000001,92.18700000000004,0.0,4.235999999999999,0.0,4.387,9.315,28.14100000000001,0.0,60.84199999999999,0.0,15.486,0.3370000000000001,23.24,0.5720000000000002,16.144000000000002,12.684000000000005,24.556000000000004,1.954,9.647999999999996,13.319000000000004,5.7,8.337,4.503000000000001,6.216,15.664999999999996,27.857000000000006,11.475,20.397,20.254999999999995,0.203,38.402000000000015,35.444999999999986,32.203,0.6580000000000003,7.116999999999999,5.363999999999998,32.878999999999984,7.217999999999998,12.919000000000006,10.565000000000005,6.189999999999999,0.6100000000000001,0.28,0.9100000000000004,91.02000000000004,7.49,4.25,19.180000000000007,2.5,10.158000000000005,2.7600000000000007
2007-11-30,0.181,0.5200000000000001,19.413999999999994,8.342999999999998,4.054999999999999,5.158,4.921000000000001,4.921000000000001,6.977000000000001,0.141,9.786,10.721999999999996,0.7260000000000001,0.7990000000000003,9.997,0.0,0.4570000000000002,0.0,0.162,0.3440000000000001,0.382,0.0,5.778999999999998,0.0,1.864,0.039,2.985,0.061,1.8020000000000007,1.4189999999999996,0.5370000000000001,0.04,0.5810000000000002,0.8010000000000003,0.382,0.5350000000000001,0.265,0.375,7.355000000000003,13.064000000000004,5.385000000000001,9.579999999999998,9.743,0.099,21.782999999999998,20.115,1.7359999999999998,0.037,4.042,3.055,2.144,0.4750000000000002,1.6979999999999995,1.3839999999999997,0.33,0.04,0.0,0.06,6.43,0.5300000000000001,0.3,1.3600000000000003,0.18,0.548,0.148
2007-12-31,0.077,0.205,10.743000000000004,4.385,2.440999999999999,3.1039999999999988,4.239000000000001,4.239000000000001,3.1839999999999984,0.063,14.318000000000003,17.537000000000003,0.754,1.3039999999999996,10.337,0.0,0.4780000000000002,0.0,0.0,0.0,0.0,0.0,1.7399999999999998,0.0,0.098,0.001,0.162,0.002,0.145,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240999999999999,5.761000000000001,2.3759999999999994,4.218999999999999,7.724000000000001,0.079,14.443999999999996,13.336999999999998,0.3220000000000001,0.004,4.4430000000000005,3.357000000000001,0.6840000000000003,0.155,0.102,0.083,0.06,0.0,0.0,0.02,2.4500000000000006,0.19,0.1099999999999999,0.4900000000000002,0.06,0.0989999999999999,0.025
2008-01-31,0.021,0.06,9.537000000000004,3.8969999999999994,3.719,4.736000000000001,2.345,2.345,4.485000000000001,0.095,15.549999999999995,20.224999999999994,0.868,1.5039999999999996,18.555000000000007,0.0,0.8450000000000003,0.0,0.16,0.3400000000000001,1.2569999999999997,0.0,8.576000000000002,0.0,5.805,0.119,9.316,0.195,0.125,0.101,6.083000000000002,0.4810000000000002,3.6569999999999983,5.042999999999998,2.297,3.3379999999999983,1.7019999999999995,2.355999999999999,1.762000000000001,3.137,1.2840000000000005,2.2840000000000003,2.019,0.02,5.7159999999999975,5.276000000000002,0.2850000000000001,0.003,4.238000000000001,3.198000000000001,0.201,0.042,0.176,0.141,0.06,0.15,0.0,0.22,22.37,1.8400000000000007,1.0500000000000005,4.710000000000001,0.6100000000000002,0.0899999999999999,0.019
2008-02-29,0.0,0.0,22.415,9.637999999999998,4.423000000000001,5.635,3.855,3.855,10.983,0.2220000000000001,15.843000000000002,20.617,0.885,1.5379999999999996,19.325,0.0,0.8980000000000004,0.0,0.045,0.102,0.26,0.0,15.896,0.0,3.260999999999999,0.064,5.224000000000001,0.104,0.3040000000000001,0.2410000000000001,2.101,0.159,1.6569999999999998,2.2820000000000005,1.0970000000000002,1.5150000000000003,0.7650000000000001,1.0610000000000002,1.0960000000000003,1.942,0.8010000000000003,1.4229999999999996,1.7779999999999998,0.019,1.1170000000000004,1.0250000000000004,0.4020000000000001,0.005,3.895999999999999,2.937999999999999,0.157,0.037,0.5240000000000001,0.4350000000000001,0.0799999999999999,0.0899999999999999,0.0,0.1299999999999999,13.790000000000004,1.1400000000000003,0.6400000000000001,2.91,0.38,0.1259999999999999,0.029
2008-03-31,0.095,0.26,53.38700000000001,23.013999999999992,15.423999999999996,19.627,19.04,19.04,74.71300000000001,1.5230000000000004,34.49,44.87,0.0,2.673,132.03199999999998,0.0,6.807,0.0,11.739000000000004,24.943999999999992,15.316000000000006,0.0,113.16799999999998,0.0,26.8,0.5810000000000001,37.19199999999999,0.8740000000000002,4.804000000000002,3.779,44.272,3.5280000000000014,14.309000000000005,19.759,10.723,14.805000000000003,8.025999999999998,11.083999999999998,3.863,6.876000000000002,2.8359999999999994,5.036999999999998,6.861,0.065,4.845,4.4780000000000015,15.123000000000005,0.3050000000000001,5.195999999999998,3.9180000000000015,4.841,1.0610000000000002,4.637000000000001,3.796,2.9100000000000006,1.1000000000000003,0.14,1.6500000000000006,164.60999999999996,13.55,7.689999999999999,34.69,4.520000000000001,4.769,1.295
2008-04-30,1.4579999999999995,4.142999999999999,62.13000000000001,28.36399999999999,37.38199999999999,47.574000000000005,38.236,40.36,180.14600000000004,3.675000000000001,19.955,26.31200000000001,1.189,1.959,110.32000000000004,0.0,5.339999999999999,0.0,17.532,37.258,73.3,0.0,140.894,0.0,19.093000000000004,0.4120000000000001,28.669000000000004,0.6630000000000001,28.89700000000001,19.867,58.78699999999999,4.422999999999999,11.229408000000005,15.875999999999998,7.176999999999998,9.912,5.369,7.417999999999999,41.399,73.59700000000001,28.803999999999988,53.902,110.44500000000004,1.1180000000000003,95.63699999999996,88.27900000000001,76.12399999999998,1.5560000000000005,30.976,23.363,51.36199999999999,11.277,42.83700000000002,35.044,14.62,1.0400000000000005,0.7200000000000002,1.5700000000000005,156.25,12.860000000000005,7.300000000000002,32.919999999999995,4.29,24.021000000000004,6.527
2008-05-31,2.460000000000001,7.001999999999997,98.02599999999998,45.37599999999998,48.973,70.123,54.50000000000002,57.70600000000002,277.962,6.428000000000001,0.0,67.38600000000001,0.0,3.943,184.182,0.0,10.267999999999995,0.0,24.663000000000004,52.40599999999999,171.77300000000002,0.0,241.894,0.0,33.638,0.7840000000000003,46.169,1.101,40.426,31.762000000000004,110.485,8.316999999999998,19.109,26.39,16.846000000000004,23.263,12.644999999999998,17.459,54.324000000000005,96.58099999999996,33.817,67.199,161.71099999999998,1.7200000000000006,116.88199999999996,107.89599999999996,151.90100000000004,3.2619999999999987,33.138000000000005,24.999,143.09200000000004,31.40899999999999,111.02100000000002,90.838,30.710000000000008,2.1800000000000006,1.4100000000000004,3.2700000000000005,326.0900000000001,26.83,15.239999999999998,68.71,8.94,50.45100000000001,13.71
